Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Demon's Grasp",5,"Sorcery",B,"ddr","43",common,b,"Not Owned",Non-foil,false,,"","Demons","",,
"Scroll of Griselbrand",1,"Artifact",,"avr","221",common,c,"Not Owned",Non-foil,false,,"","Demons","",44103,
"Demonic Embrace",3,"Enchantment - Aura",B,"m21","95",rare,b,"Not Owned",Non-foil,false,,"","Demons","",81417,
"Mark of the Oni",3,"Enchantment - Aura",B,"bok","73",uncommon,b,"Not Owned",Non-foil,false,,"","Demons","",21631,
"Unhallowed Pact",3,"Enchantment - Aura",B,"cns","131",common,b,"Not Owned",Non-foil,false,,"","Demons","",,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Demons","",,
"Forge Devil",1,"Creature - Devil",R,"m15","140",common,r,"Not Owned",Non-foil,false,,"","Devils","",53402,
"Tibalt's Rager",2,"Creature - Devil",R,"jmp","366",uncommon,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Torch Fiend",2,"Creature - Devil",R,"m15","166",common,r,"Not Owned",Non-foil,false,,"","Devils","",53404,
"Vengeful Devil",2,"Creature - Devil",R,"mh1","152",uncommon,r,"Not Owned",Non-foil,false,,"","Devils","",72676,
"Spiteful Prankster",3,"Creature - Devil",R,"jmp","26",uncommon,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Zurzoth, Chaos Rider",3,"Legendary Creature - Devil",R,"jmp","27",rare,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Hellrider",4,"Creature - Devil",R,"dka","93",rare,r,"Not Owned",Non-foil,false,,"","Devils","",43185,
"Pitchburn Devils",5,"Creature - Devil",R,"cns","149",common,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Collateral Damage",1,"Instant",R,"jmp","305",common,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Heartfire",2,"Instant",R,"war","131",common,r,"Not Owned",Non-foil,false,,"","Devils","",71868,
"Dance with Devils",4,"Instant",R,"jmp","306",uncommon,r,"Not Owned",Non-foil,false,,"","Devils","",,
"Traitorous Greed",4,"Sorcery",R,"m21","166",uncommon,r,"Not Owned",Non-foil,false,,"","Devils","",81559,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Devils","",,
"Endless One",0,"Creature - Eldrazi",,"bfz","8",rare,c,"Not Owned",Non-foil,false,,"","Devoid","",58743,
"Sky Scourer",2,"Creature - Eldrazi Drone",B,"ogw","78",common,b,"Not Owned",Non-foil,false,,"","Devoid","",59527,
"Slaughter Drone",2,"Creature - Eldrazi Drone",B,"ogw","79",common,b,"Not Owned",Non-foil,false,,"","Devoid","",59277,
"Dominator Drone",3,"Creature - Eldrazi Drone",B,"bfz","92",common,b,"Not Owned",Non-foil,false,,"","Devoid","",58391,
"Kozilek's Shrieker",3,"Creature - Eldrazi Drone",B,"ogw","73",common,b,"Not Owned",Non-foil,false,,"","Devoid","",59387,
"Sifter of Skulls",4,"Creature - Eldrazi",B,"ogw","77",rare,b,"Not Owned",Non-foil,false,,"","Devoid","",59533,
"Kozilek's Translator",5,"Creature - Eldrazi Drone",B,"ogw","74",common,b,"Not Owned",Non-foil,false,,"","Devoid","",59521,
"Bane of Bala Ged",7,"Creature - Eldrazi",,"bfz","1",uncommon,c,"Not Owned",Non-foil,false,,"","Devoid","",58297,
"Complete Disregard",3,"Instant",B,"bfz","90",common,b,"Not Owned",Non-foil,false,,"","Devoid","",58585,
"Transgress the Mind",2,"Sorcery",B,"bfz","101",uncommon,b,"Not Owned",Non-foil,false,,"","Devoid","",58385,
"Swarm Surge",3,"Sorcery",B,"bfz","100",common,b,"Not Owned",Non-foil,false,,"","Devoid","",58581,
"Oblivion Strike",4,"Sorcery",B,"ogw","75",common,b,"Not Owned",Non-foil,false,,"","Devoid","",59299,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Devoid","",,
"Wastes",0,"Basic Land",,"ogw","184a",common,l,"Not Owned",Non-foil,false,,"","Devoid","",,
"Drover of the Mighty",2,"Creature - Human Druid",G,"xln","187",uncommon,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",65392,
"Drowsing Tyrannodon",2,"Creature - Dinosaur",G,"m21","178",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",81583,
"Orazca Frillback",3,"Creature - Dinosaur",G,"rix","140",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",66733,
"Thrashing Brontodon",3,"Creature - Dinosaur",G,"rix","148",uncommon,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",66749,
"Ornery Dilophosaur",4,"Creature - Dinosaur",G,"m21","194",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",81615,
"Spike-Tailed Ceratops",5,"Creature - Dinosaur",G,"xln","209",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",65438,
"Colossal Dreadmaw",6,"Creature - Dinosaur",G,"xln","180",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",65378,
"Ghalta, Primal Hunger",12,"Legendary Creature - Elder Dinosaur",G,"rix","130",rare,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",66713,
"Broken Wings",3,"Instant",G,"znr","181",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",83347,
"Commune with Dinosaurs",1,"Sorcery",G,"xln","181",common,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",65380,
"Primal Might",1,"Sorcery",G,"m21","197",rare,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",81621,
"Savage Stomp",3,"Sorcery",G,"jmp","427",uncommon,g,"Not Owned",Non-foil,false,,"","Dinosaurs","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Dinosaurs","",,
"Dire Fleet Hoarder",2,"Creature - Human Pirate",B,"xln","102",common,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65220,
"Dire Fleet Poisoner",2,"Creature - Human Pirate",B,"rix","68",rare,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",66589,
"Kitesail Freebooter",2,"Creature - Human Pirate",B,"m21","107",uncommon,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",81441,
"Wanted Scoundrels",2,"Creature - Human Pirate",B,"xln","131",uncommon,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65278,
"Deadeye Tormentor",3,"Creature - Human Pirate",B,"xln","98",common,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65212,
"Forerunner of the Coalition",3,"Creature - Human Pirate",B,"rix","72",uncommon,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",66597,
"Ruin Raider",3,"Creature - Orc Pirate",B,"xln","118",rare,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65252,
"Fathom Fleet Cutthroat",4,"Creature - Human Pirate",B,"m20","100",common,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",73099,
"Skulduggery",1,"Instant",B,"xln","123",common,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65262,
"March of the Dr"Not Owned"",1,"Sorcery",B,"xln","112",common,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65240,
"Walk the Plank",2,"Sorcery",B,"xln","130",uncommon,b,"Not Owned",Non-foil,false,,"","Dire Fleet","",65276,
"Pirate's Cutlass",3,"Artifact - Equipment",,"jmp","477",common,c,"Not Owned",Non-foil,false,,"","Dire Fleet","",,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Dire Fleet","",,
"Liliana's Steward",1,"Creature - Zombie",B,"m21","111",common,b,"Not Owned",Non-foil,false,,"","Discard","",81449,
"Burglar Rat",2,"Creature - Rat",B,"jmp","214",common,b,"Not Owned",Non-foil,false,,"","Discard","",,
"Wight of Precinct Six",2,"Creature - Zombie",B,"jmp","287",common,b,"Not Owned",Non-foil,false,,"","Discard","",,
"Hypnotic Specter",3,"Creature - Specter",B,"m10","100",rare,b,"Not Owned",Non-foil,false,,"","Discard","",33069,
"Nyxathid",3,"Creature - Elemental",B,"bbd","153",rare,b,"Not Owned",Non-foil,false,,"","Discard","",,
"Entomber Exarch",4,"Creature - Cleric",B,"mm3","68",uncommon,b,"Not Owned",Non-foil,false,,"","Discard","",63253,
"Fell Specter",4,"Creature - Specter",B,"jmp","233",uncommon,b,"Not Owned",Non-foil,false,,"","Discard","",,
"Ravenous Chupacabra",4,"Creature - Beast Horror",B,"rix","82",uncommon,b,"Not Owned",Non-foil,false,,"","Discard","",66617,
"Davriel, Rogue Shadowmage",3,"Legendary Planeswalker - Davriel",B,"war","83",uncommon,b,"Not Owned",Non-foil,false,,"","Discard","",71772,
"Mind Drain",3,"Sorcery",B,"znr","114",common,b,"Not Owned",Non-foil,false,,"","Discard","",83195,
"Assassin's Strike",6,"Sorcery",B,"jmp","200",uncommon,b,"Not Owned",Non-foil,false,,"","Discard","",,
"Death's Approach",1,"Enchantment - Aura",B,"gtc","62",common,b,"Not Owned",Non-foil,false,,"","Discard","",47573,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Discard","",,
"Dragon Hatchling",2,"Creature - Dragon",R,"bbd","173",common,r,"Not Owned",Non-foil,false,,"","Dragons","",,
"Dragon Egg",3,"Creature - Dragon Egg",R,"ema","126",common,r,"Not Owned",Non-foil,false,,"","Dragons","",60797,
"Dragonloft Idol",4,"Artifact Creature - Gargoyle",,"ima","215",uncommon,c,"Not Owned",Non-foil,false,,"","Dragons","",66309,
"Furnace Whelp",4,"Creature - Dragon",R,"dd2","43",uncommon,r,"Not Owned",Non-foil,false,,"","Dragons","",31623,
"Rapacious Dragon",5,"Creature - Dragon",R,"m20","153",uncommon,r,"Not Owned",Non-foil,false,,"","Dragons","",73205,
"Scourge of Valkas",5,"Creature - Dragon",R,"ima","145",rare,r,"Not Owned",Non-foil,false,,"","Dragons","",66169,
"Lathliss, Dragon Queen",6,"Legendary Creature - Dragon",R,"m19","149",rare,r,"Not Owned",Non-foil,false,,"","Dragons","",68459,
"Hellkite Punisher",7,"Creature - Dragon",R,"m21","151",uncommon,r,"Not Owned",Non-foil,false,,"","Dragons","",81529,
"Draconic Roar",2,"Instant",R,"ima","123",common,r,"Not Owned",Non-foil,false,,"","Dragons","",66125,
"Scorching Dragonfire",2,"Instant",R,"eld","139",common,r,"Not Owned",Non-foil,false,,"","Dragons","",78408,
"Seething Song",3,"Instant",R,"ddg","70",common,r,"Not Owned",Non-foil,false,,"","Dragons","",40342,
"Bathe in Dragonfire",3,"Sorcery",R,"jmp","293",common,r,"Not Owned",Non-foil,false,,"","Dragons","",,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Dragons","",,
"Fan Bearer",1,"Creature - Zombie",W,"gnt","12",common,w,"Not Owned",Non-foil,false,,"","Egypt","",,
"Binding Mummy",2,"Creature - Zombie",W,"akh","6",common,w,"Not Owned",Non-foil,false,,"","Egypt","",63614,
"Mummy Paramount",2,"Creature - Zombie",W,"hou","16",common,w,"Not Owned",Non-foil,false,,"","Egypt","",64516,
"Those Who Serve",3,"Creature - Zombie",W,"akh","32",common,w,"Not Owned",Non-foil,false,,"","Egypt","",63666,
"Oketra the True",4,"Legendary Creature - God",W,"akh","21",mythic,w,"Not Owned",Non-foil,false,,"","Egypt","",63644,
"Sparring Mummy",4,"Creature - Zombie",W,"bbd","108",common,w,"Not Owned",Non-foil,false,,"","Egypt","",,
"In Oketra's Name",2,"Instant",W,"akh","19",common,w,"Not Owned",Non-foil,false,,"","Egypt","",63640,
"Sandblast",3,"Instant",W,"hou","20",common,w,"Not Owned",Non-foil,false,,"","Egypt","",64524,
"Unconventional Tactics",3,"Sorcery",W,"hou","27",uncommon,w,"Not Owned",Non-foil,false,,"","Egypt","",64538,
"Hour of Revelation",6,"Sorcery",W,"hou","15",rare,w,"Not Owned",Non-foil,false,,"","Egypt","",64514,
"Oketra's Monument",3,"Legendary Artifact",,"akh","233",uncommon,c,"Not Owned",Non-foil,false,,"","Egypt","",64128,
"Unstable Obelisk",3,"Artifact",,"cm2","227",uncommon,c,"Not Owned",Non-foil,false,,"","Egypt","",,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Egypt","",,
"Scorch Spitter",1,"Creature - Elemental Lizard",R,"m20","159",common,r,"Not Owned",Non-foil,false,,"","Elementals","",73217,
"Chandra's Embercat",2,"Creature - Elemental Cat",R,"m20","129",common,r,"Not Owned",Non-foil,false,,"","Elementals","",73157,
"Chandra's Magmutt",2,"Creature - Elemental Dog",R,"m21","137",common,r,"Not Owned",Non-foil,false,,"","Elementals","",81501,
"Incandescent Soulstoke",3,"Creature - Elemental Shaman",R,"mm2","119",uncommon,r,"Not Owned",Non-foil,false,,"","Elementals","",57034,
"Lavakin Brawler",4,"Creature - Elemental Warrior",R,"m20","147",common,r,"Not Owned",Non-foil,false,,"","Elementals","",73193,
"Scampering Scorcher",4,"Creature - Elemental",R,"m20","158",uncommon,r,"Not Owned",Non-foil,false,,"","Elementals","",73215,
"Cavalier of Flame",5,"Creature - Elemental Knight",R,"m20","125",mythic,r,"Not Owned",Non-foil,false,,"","Elementals","",73149,
"Inferno Elemental",6,"Creature - Elemental",R,"m10","142",uncommon,r,"Not Owned",Non-foil,false,,"","Elementals","",32861,
"Magma Spray",1,"Instant",R,"ala","108",common,r,"Not Owned",Non-foil,false,,"","Elementals","",31231,
"Carbonize",3,"Instant",R,"ema","122",common,r,"Not Owned",Non-foil,false,,"","Elementals","",60937,
"Force of Rage",3,"Instant",R,"mh1","124",rare,r,"Not Owned",Non-foil,false,,"","Elementals","",72620,
"Magmatic Chasm",2,"Sorcery",R,"soi","172",common,r,"Not Owned",Non-foil,false,,"","Elementals","",60140,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Elementals","",,
"Elvish Skysweeper",1,"Creature - Elf Warrior",G,"c14","192",common,g,"Not Owned",Non-foil,false,,"","Elves","",55264,
"Dwynen's Elite",2,"Creature - Elf Warrior",G,"ddu","3",uncommon,g,"Not Owned",Non-foil,false,,"","Elves","",,
"Silhana Wayfinder",2,"Creature - Elf Scout",G,"jmp","430",uncommon,g,"Not Owned",Non-foil,false,,"","Elves","",,
"Imperious Perfect",3,"Creature - Elf Warrior",G,"cma","118",uncommon,g,"Not Owned",Non-foil,false,,"","Elves","",,
"Llanowar Visionary",3,"Creature - Elf Druid",G,"m21","193",common,g,"Not Owned",Non-foil,false,,"","Elves","",81613,
"Reclamation Sage",3,"Creature - Elf Shaman",G,"2xm","178",uncommon,g,"Not Owned",Non-foil,false,,"","Elves","",82390,
"Beast Whisperer",4,"Creature - Elf Druid",G,"c20","167",rare,g,"Not Owned",Non-foil,false,,"","Elves","",,
"Dwynen, Gilt-Leaf Daen",4,"Legendary Creature - Elf Warrior",G,"ddu","2",rare,g,"Not Owned",Non-foil,false,,"","Elves","",,
"Tajuru Pathwarden",5,"Creature - Elf Warrior Ally",G,"ogw","145",common,g,"Not Owned",Non-foil,false,,"","Elves","",59337,
"Broken Wings",3,"Instant",G,"znr","181",common,g,"Not Owned",Non-foil,false,,"","Elves","",83347,
"Hunter's Edge",4,"Sorcery",G,"m21","189",common,g,"Not Owned",Non-foil,false,,"","Elves","",81605,
"Presence of Gond",3,"Enchantment - Aura",G,"c13","161",common,g,"Not Owned",Non-foil,false,,"","Elves","",50908,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Elves","",,
"Alseid of Life's Bounty",1,"Enchantment Creature - Nymph",W,"thb","1",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",79126,
"Daxos, Blessed by the Sun",2,"Legendary Enchantment Creature - Demigod",W,"thb","9",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",79142,
"Stone Haven Pilgrim",2,"Creature - Kor Cleric",W,"jmp","6",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",,
"Blessed Spirits",3,"Creature - Spirit",W,"ori","7",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",57832,
"Mesa Enchantress",3,"Creature - Human Druid",W,"ema","19",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",60533,
"Nyxborn Courser",3,"Enchantment Creature - Centaur Scout",W,"thb","29",common,w,"Not Owned",Non-foil,false,,"","Enchanted","",79182,
"Archon of Sun's Grace",4,"Creature - Archon",W,"thb","3",rare,w,"Not Owned",Non-foil,false,,"","Enchanted","",79130,
"Silent Sentinel",7,"Creature - Archon",W,"bng","26",rare,w,"Not Owned",Non-foil,false,,"","Enchanted","",51719,
"All That Glitters",2,"Enchantment - Aura",W,"eld","2",uncommon,w,"Not Owned",Non-foil,false,,"","Enchanted","",78090,
"Indomitable Will",2,"Enchantment - Aura",W,"thb","25",common,w,"Not Owned",Non-foil,false,,"","Enchanted","",79174,
"Oblivion Ring",3,"Enchantment",W,"ddg","34",common,w,"Not Owned",Non-foil,false,,"","Enchanted","",40200,
"Faith's Fetters",4,"Enchantment - Aura",W,"uma","16",common,w,"Not Owned",Non-foil,false,,"","Enchanted","",70105,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Enchanted","",,
"Destiny Spinner",2,"Enchantment Creature - Human",G,"thb","168",uncommon,g,"Not Owned",Non-foil,false,,"","Enchantress","",79460,
"Setessan Skirmisher",2,"Creature - Human Warrior",G,"thb","200",common,g,"Not Owned",Non-foil,false,,"","Enchantress","",79524,
"Aura Gnarlid",3,"Creature - Beast",G,"pc2","55",common,g,"Not Owned",Non-foil,false,,"","Enchantress","",44904,
"Nyx Herald",3,"Enchantment Creature - Centaur Shaman",G,"thb","189",uncommon,g,"Not Owned",Non-foil,false,,"","Enchantress","",79502,
"Setessan Champion",3,"Creature - Human Warrior",G,"thb","198",rare,g,"Not Owned",Non-foil,false,,"","Enchantress","",79520,
"Yavimaya Enchantress",3,"Creature - Human Druid",G,"10e","310",uncommon,g,"Not Owned",Non-foil,false,,"","Enchantress","",27446,
"Druid of Horns",4,"Creature - Human Druid",G,"m19","176",uncommon,g,"Not Owned",Non-foil,false,,"","Enchantress","",68513,
"Nylea's Colossus",7,"Enchantment Creature - Giant",G,"c18","33",rare,g,"Not Owned",Non-foil,false,,"","Enchantress","",,
"Rancor",1,"Enchantment - Aura",G,"e02","35",uncommon,g,"Not Owned",Non-foil,false,,"","Enchantress","",,
"Talons of Wildwood",2,"Enchantment - Aura",G,"m19","202",common,g,"Not Owned",Non-foil,false,,"","Enchantress","",68565,
"Warbriar Blessing",2,"Enchantment - Aura",G,"thb","204",common,g,"Not Owned",Non-foil,false,,"","Enchantress","",79532,
"Cartouche of Strength",3,"Enchantment - Aura Cartouche",G,"akh","158",common,g,"Not Owned",Non-foil,false,,"","Enchantress","",63918,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Enchantress","",,
"Blood Aspirant",2,"Creature - Satyr Berserker",R,"thb","128",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",79380,
"Chained Brute",2,"Creature - Devil",R,"jmp","19",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",,
"Hobblefiend",2,"Creature - Devil",R,"m21","152",common,r,"Not Owned",Non-foil,false,,"","Expendables","",81531,
"Spiteful Prankster",3,"Creature - Devil",R,"jmp","26",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",,
"Magmaw",5,"Creature - Elemental",R,"roe","158",rare,r,"Not Owned",Non-foil,false,,"","Expendables","",36398,
"Pitchburn Devils",5,"Creature - Devil",R,"cns","149",common,r,"Not Owned",Non-foil,false,,"","Expendables","",,
"Tibalt, Rakish Instigator",3,"Legendary Planeswalker - Tibalt",R,"war","146",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",71898,
"Heartfire",2,"Instant",R,"war","131",common,r,"Not Owned",Non-foil,false,,"","Expendables","",71868,
"Act of Treason",3,"Sorcery",R,"m12","121",common,r,"Not Owned",Non-foil,false,,"","Expendables","",41225,
"Traitorous Greed",4,"Sorcery",R,"m21","166",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",81559,
"Devils' Playground",6,"Sorcery",R,"soi","151",rare,r,"Not Owned",Non-foil,false,,"","Expendables","",59818,
"Mask of Immolation",2,"Artifact - Equipment",R,"m20","151",uncommon,r,"Not Owned",Non-foil,false,,"","Expendables","",73201,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Expendables","",,
"Bloodrage Brawler",2,"Creature - Minotaur Warrior",R,"jmp","296",uncommon,r,"Not Owned",Non-foil,false,,"","Ferocious","",,
"Incendiary Oracle",2,"Creature - Human Shaman",R,"thb","140",common,r,"Not Owned",Non-foil,false,,"","Ferocious","",79404,
"Raging Kronch",3,"Creature - Beast",R,"war","141",common,r,"Not Owned",Non-foil,false,,"","Ferocious","",71888,
"Stampede Rider",3,"Creature - Satyr",R,"thb","155",common,r,"Not Owned",Non-foil,false,,"","Ferocious","",79434,
"Goblin Assault Team",4,"Creature - Goblin Warrior",R,"war","129",common,r,"Not Owned",Non-foil,false,,"","Ferocious","",71864,
"Turret Ogre",4,"Creature - Ogre Warrior",R,"war","148",common,r,"Not Owned",Non-foil,false,,"","Ferocious","",71902,
"Immortal Phoenix",6,"Creature - Phoenix",R,"g18","GP4",rare,r,"Not Owned",Non-foil,false,,"","Ferocious","",,
"Flames of the Raze-Boar",6,"Instant",R,"rna","101",uncommon,r,"Not Owned",Non-foil,false,,"","Ferocious","",71202,
"O-Naginata",1,"Artifact - Equipment",,"2xm","278",uncommon,c,"Not Owned",Non-foil,false,,"","Ferocious","",82590,
"Dragon Grip",3,"Enchantment - Aura",R,"ktk","107",uncommon,r,"Not Owned",Non-foil,false,,"","Ferocious","",54366,
"Furious Rise",3,"Enchantment",R,"thb","136",uncommon,r,"Not Owned",Non-foil,false,,"","Ferocious","",79396,
"Sarkhan's Unsealing",4,"Enchantment",R,"jmp","361",rare,r,"Not Owned",Non-foil,false,,"","Ferocious","",,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Ferocious","",,
"Brindle Shoat",2,"Creature - Boar",G,"pc2","60",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",45050,
"Dawntreader Elk",2,"Creature - Elk",G,"dka","111",common,g,"Not Owned",Non-foil,false,,"","Fertalizer","",43199,
"Satyr Wayfinder",2,"Creature - Satyr",G,"bng","136",common,g,"Not Owned",Non-foil,false,,"","Fertalizer","",51643,
"Gristleback",3,"Creature - Boar Beast",G,"gpt","87",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",23631,
"Overgrowth Elemental",3,"Creature - Elemental",G,"m20","187",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",73273,
"Splinterfright",3,"Creature - Elemental",G,"isd","205",rare,g,"Not Owned",Non-foil,false,,"","Fertalizer","",42502,
"Sabertooth Mauler",4,"Creature - Cat",G,"m21","202",common,g,"Not Owned",Non-foil,false,,"","Fertalizer","",81631,
"Fungal Rebirth",3,"Instant",G,"m21","182",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",81591,
"Gnaw to the Bone",3,"Instant",G,"isd","183",common,g,"Not Owned",Non-foil,false,,"","Fertalizer","",42770,
"Grim Flowering",6,"Sorcery",G,"cma","114",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",,
"Wreath of Geists",1,"Enchantment - Aura",G,"isd","211",uncommon,g,"Not Owned",Non-foil,false,,"","Fertalizer","",42632,
"Greater Good",4,"Enchantment",G,"2xm","170",rare,g,"Not Owned",Non-foil,false,,"","Fertalizer","",82374,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Fertalizer","",,
"Moss Viper",1,"Creature - Snake",G,"thb","179",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",79482,
"Thornweald Archer",2,"Creature - Elf Archer",G,"c14","219",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",54663,
"Atzocan Archer",3,"Creature - Human Archer",G,"xln","176",uncommon,g,"Not Owned",Non-foil,false,,"","Fight Club","",65370,
"Bellowing Elk",4,"Creature - Elk",G,"mh1","157",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",72686,
"Somberwald Stag",5,"Creature - Elk",G,"emn","169",uncommon,g,"Not Owned",Non-foil,false,,"","Fight Club","",61252,
"Pheres-Band Brawler",6,"Creature - Centaur Warrior",G,"thb","193",uncommon,g,"Not Owned",Non-foil,false,,"","Fight Club","",79510,
"Foe-Razer Regent",7,"Creature - Dragon",G,"dtk","187",rare,g,"Not Owned",Non-foil,false,,"","Fight Club","",55996,
"Mortal's Resolve",2,"Instant",G,"bng","127",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",51655,
"Epic Confrontation",2,"Sorcery",G,"a25","170",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",67254,
"Outmuscle",4,"Sorcery",G,"eld","170",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",78480,
"Warbriar Blessing",2,"Enchantment - Aura",G,"thb","204",common,g,"Not Owned",Non-foil,false,,"","Fight Club","",79532,
"Neyith of the Dire Hunt",4,"Legendary Creature - Human Warrior",RG,"jmp","30",rare,m,"Not Owned",Non-foil,false,,"","Fight Club","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Fight Club","",,
"Charming Prince",2,"Creature - Human Noble",W,"eld","8",rare,w,"Not Owned",Non-foil,false,,"","Flicker","",78104,
"Lone Missionary",2,"Creature - Kor Monk",W,"mm3","14",common,w,"Not Owned",Non-foil,false,,"","Flicker","",63219,
"Wall of Omens",2,"Creature - Wall",W,"ddk","4",uncommon,w,"Not Owned",Non-foil,false,,"","Flicker","",48067,
"Blade Splicer",3,"Creature - Human Artificer",W,"2xm","9",rare,w,"Not Owned",Non-foil,false,,"","Flicker","",82052,
"Flickerwisp",3,"Creature - Elemental",W,"eve","6",uncommon,w,"Not Owned",Non-foil,false,,"","Flicker","",29970,
"Glimmerpoint Stag",4,"Creature - Elk",W,"som","9",uncommon,w,"Not Owned",Non-foil,false,,"","Flicker","",37963,
"Master Splicer",4,"Creature - Human Artificer",W,"m20","29",uncommon,w,"Not Owned",Non-foil,false,,"","Flicker","",72957,
"Sensor Splicer",5,"Creature - Artificer",W,"mm3","23",common,w,"Not Owned",Non-foil,false,,"","Flicker","",63257,
"Divine Arrow",2,"Instant",W,"jmp","100",common,w,"Not Owned",Non-foil,false,,"","Flicker","",,
"Settle Beyond Reality",5,"Sorcery",W,"mh1","27",common,w,"Not Owned",Non-foil,false,,"","Flicker","",72426,
"Mantle of Leadership",2,"Enchantment - Aura",W,"plc","9",uncommon,w,"Not Owned",Non-foil,false,,"","Flicker","",26243,
"Faith's Fetters",4,"Enchantment - Aura",W,"uma","16",common,w,"Not Owned",Non-foil,false,,"","Flicker","",70105,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Flicker","",,
"Wildwood Scourge",1,"Creature - Hydra",G,"m21","214",uncommon,g,"Not Owned",Non-foil,false,,"","Gains","",81655,
"Nessian Hornbeetle",2,"Creature - Insect",G,"thb","182",uncommon,g,"Not Owned",Non-foil,false,,"","Gains","",79488,
"Scrounging Bandar",2,"Creature - Cat Monkey",G,"jmp","428",common,g,"Not Owned",Non-foil,false,,"","Gains","",,
"Fertilid",3,"Creature - Elemental",G,"iko","152",common,g,"Not Owned",Non-foil,false,,"","Gains","",80313,
